BODIES
id, mass, x, y, Vx, Vy, moves
0, 1.989000e+30, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1
1, 5.972000e+24, 1.500000e+11, 0.000000e+00, 0.000000e+00, 2.985000e+04, 1
STEPSIZE: 8.640000e+04 sec
MOTION
timestep, id, x, y, Vx, Vy
86, 0, 4.144758e+05, 2.181604e+05, 8.902544e-02, 8.062418e-02
86, 1, 1.195706e+10, 1.517172e+11, -2.965030e+04, 2.997771e+03
87, 0, 4.221727e+05, 2.251904e+05, 8.914226e-02, 8.210648e-02
87, 1, 9.393598e+09, 1.519549e+11, -2.968921e+04, 2.504084e+03
88, 0, 4.298785e+05, 2.323484e+05, 8.923393e-02, 8.358944e-02
88, 1, 6.827131e+09, 1.521499e+11, -2.971974e+04, 2.010181e+03
89, 0, 4.375912e+05, 2.396346e+05, 8.930048e-02, 8.507259e-02
89, 1, 4.258388e+09, 1.523023e+11, -2.974191e+04, 1.516209e+03
90, 0, 4.453085e+05, 2.470490e+05, 8.934194e-02, 8.655552e-02
90, 1, 1.688091e+09, 1.524119e+11, -2.975571e+04, 1.022315e+03
91, 0, 4.530284e+05, 2.545914e+05, 8.935835e-02, 8.803777e-02
91, 1, -8.830387e+08, 1.524789e+11, -2.976118e+04, 5.286432e+02
92, 0, 4.607486e+05, 2.622619e+05, 8.934977e-02, 8.951892e-02
92, 1, -3.454281e+09, 1.525033e+11, -2.975832e+04, 3.533968e+01
93, 0, 4.684670e+05, 2.700602e+05, 8.931625e-02, 9.099853e-02
93, 1, -6.024918e+09, 1.524851e+11, -2.974716e+04, -4.574518e+02
94, 0, 4.761814e+05, 2.779863e+05, 8.925786e-02, 9.247618e-02
94, 1, -8.594232e+09, 1.524243e+11, -2.972771e+04, -9.495875e+02
95, 0, 4.838896e+05, 2.860400e+05, 8.917468e-02, 9.395143e-02
95, 1, -1.116151e+10, 1.523210e+11, -2.970001e+04, -1.440925e+03
96, 0, 4.915897e+05, 2.942210e+05, 8.906678e-02, 9.542385e-02
96, 1, -1.372604e+10, 1.521753e+11, -2.966407e+04, -1.931321e+03
97, 0, 4.992793e+05, 3.025291e+05, 8.893426e-02, 9.689302e-02
97, 1, -1.628711e+10, 1.519873e+11, -2.961993e+04, -2.420637e+03
98, 0, 5.069565e+05, 3.109640e+05, 8.877721e-02, 9.835853e-02
98, 1, -1.884401e+10, 1.517571e+11, -2.956763e+04, -2.908730e+03
99, 0, 5.146190e+05, 3.195253e+05, 8.859573e-02, 9.981995e-02
99, 1, -2.139604e+10, 1.514847e+11, -2.950719e+04, -3.395462e+03
100, 0, 5.222647e+05, 3.282127e+05, 8.838995e-02, 1.012769e-01
100, 1, -2.394250e+10, 1.511704e+11, -2.943865e+04, -3.880694e+03
101, 0, 5.298917e+05, 3.370257e+05, 8.815997e-02, 1.027289e-01
101, 1, -2.648269e+10, 1.508142e+11, -2.936205e+04, -4.364289e+03
102, 0, 5.374978e+05, 3.459640e+05, 8.790593e-02, 1.041755e-01
102, 1, -2.901592e+10, 1.504163e+11, -2.927745e+04, -4.846112e+03
103, 0, 5.450808e+05, 3.550270e+05, 8.762796e-02, 1.056165e-01
103, 1, -3.154149e+10, 1.499769e+11, -2.918487e+04, -5.326027e+03
104, 0, 5.526388e+05, 3.642142e+05, 8.732620e-02, 1.070513e-01
104, 1, -3.405872e+10, 1.494961e+11, -2.908436e+04, -5.803900e+03
105, 0, 5.601698e+05, 3.735252e+05, 8.700080e-02, 1.084796e-01
105, 1, -3.656693e+10, 1.489741e+11, -2.897599e+04, -6.279598e+03
106, 0, 5.676716e+05, 3.829592e+05, 8.665190e-02, 1.099010e-01
106, 1, -3.906543e+10, 1.484111e+11, -2.885979e+04, -6.752990e+03
107, 0, 5.751422e+05, 3.925157e+05, 8.627968e-02, 1.113150e-01
107, 1, -4.155356e+10, 1.478073e+11, -2.873582e+04, -7.223947e+03
108, 0, 5.825797e+05, 4.021941e+05, 8.588431e-02, 1.127214e-01
108, 1, -4.403065e+10, 1.471629e+11, -2.860413e+04, -7.692339e+03
109, 0, 5.899820e+05, 4.119936e+05, 8.546594e-02, 1.141197e-01
109, 1, -4.649603e+10, 1.464782e+11, -2.846480e+04, -8.158039e+03
110, 0, 5.973472e+05, 4.219136e+05, 8.502477e-02, 1.155095e-01
110, 1, -4.894904e+10, 1.457533e+11, -2.831786e+04, -8.620922e+03
111, 0, 6.046733e+05, 4.319533e+05, 8.456098e-02, 1.168904e-01
111, 1, -5.138903e+10, 1.449886e+11, -2.816340e+04, -9.080861e+03
112, 0, 6.119584e+05, 4.421119e+05, 8.407477e-02, 1.182622e-01
112, 1, -5.381535e+10, 1.441843e+11, -2.800146e+04, -9.537736e+03
113, 0, 6.192005e+05, 4.523886e+05, 8.356634e-02, 1.196244e-01
113, 1, -5.622736e+10, 1.433406e+11, -2.783212e+04, -9.991424e+03
114, 0, 6.263977e+05, 4.627826e+05, 8.303588e-02, 1.209767e-01
114, 1, -5.862442e+10, 1.424579e+11, -2.765545e+04, -1.044180e+04
115, 0, 6.335481e+05, 4.732929e+05, 8.248361e-02, 1.223187e-01
115, 1, -6.100591e+10, 1.415364e+11, -2.747152e+04, -1.088876e+04
116, 0, 6.406499e+05, 4.839188e+05, 8.190976e-02, 1.236500e-01
116, 1, -6.337119e+10, 1.405765e+11, -2.728039e+04, -1.133218e+04
117, 0, 6.477012e+05, 4.946592e+05, 8.131453e-02, 1.249704e-01
